Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-10-06,Dishoom,2016,https://boxd.it/bh2S63,3.5,,,2017-12-01
2025-11-23,The Girl Next Door,2004,https://boxd.it/bNNMCJ,3,,,2022-06-16
2025-11-11,The Godfather,1972,https://boxd.it/bFwFsr,,,,2023-02-06
2025-11-02,Moon Knight,2022,https://boxd.it/bzqiXP,4.5,,,2023-05-02
2025-10-06,Joker,2019,https://boxd.it/bhbaiR,4,Yes,,2023-05-15
2025-11-16,Pixels,2015,https://boxd.it/bIRG0d,2.5,,,2023-05-18
2025-10-29,"I Love You, Beth Cooper",2009,https://boxd.it/bwza8Z,3.5,,,2023-05-20
2025-10-06,Fight Club,1999,https://boxd.it/bh2UaB,5,,,2023-06-14
2025-10-06,Shaun of the Dead,2004,https://boxd.it/bh2VG9,4.5,,,2023-06-15
2025-11-23,The Menu,2022,https://boxd.it/bNwE6r,0.5,,,2023-08-12
2025-10-06,Remember Me,2010,https://boxd.it/bh2WTj,1.5,,,2023-09-11
2025-10-07,Groundhog Day,1993,https://boxd.it/bhPDUl,5,,,2023-10-17
2025-11-15,American Made,2017,https://boxd.it/bICpKN,3,,,2023-11-05
2025-10-06,The Thing,1982,https://boxd.it/bhbhmh,5,Yes,,2024-10-25
2025-10-06,Snatch,2000,https://boxd.it/bhboZl,5,,,2024-10-26
2025-10-07,In Bruges,2008,https://boxd.it/bhPwnf,5,,,2024-11-26
2025-10-06,Shrek Forever After,2010,https://boxd.it/bhbdEr,5,Yes,,2024-11-29
2025-10-06,ted,2024,https://boxd.it/bhcyp5,5,,,2024-12-20
2025-10-06,My Night at Maud's,1969,https://boxd.it/bh2DNr,5,,,2024-12-25
2025-10-07,The Thing,1982,https://boxd.it/bi0gOB,5,Yes,,2025-02-15
2025-11-30,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/bT5U7l,5,,,2025-05-29
2025-12-02,Tall Dark and Handsome,2023,https://boxd.it/bUqDTX,5,,,2025-08-07
2025-10-06,Adventures in Babysitting,1987,https://boxd.it/bhbPF3,5,,,2025-09-10
2025-10-06,The Thing,1982,https://boxd.it/bh2GVt,5,,,2025-10-05
2025-10-06,The Dictator,2012,https://boxd.it/bh33Jb,5,,,2025-10-05
2025-10-06,The Dictator,2012,https://boxd.it/bhbBnJ,,Yes,,2025-10-05
2025-10-06,The Ba***ds of Bollywood,2025,https://boxd.it/bhbEXv,5,,,2025-10-05
2025-10-07,The Apartment,1960,https://boxd.it/bhVroT,5,,,2025-10-06
2025-10-07,Midnight in Paris,2011,https://boxd.it/bhXqIn,5,,,2025-10-07
2025-10-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/bi07N5,5,,,2025-10-07
2025-10-07,Ferris Bueller's Day Off,1986,https://boxd.it/biiUtz,5,,,2025-10-07
2025-10-08,Magnolia,1999,https://boxd.it/binG6V,3,,,2025-10-07
2025-10-09,Ted 2,2015,https://boxd.it/bj0WAP,5,Yes,,2025-10-08
2025-10-09,Main Tera Hero,2014,https://boxd.it/bjopo5,3.5,Yes,,2025-10-09
2025-10-26,The Monster of Florence,2025,https://boxd.it/bu4Foz,4.5,,,2025-10-25
2025-10-29,Adventures in Babysitting,1987,https://boxd.it/bwvKZd,,Yes,,2025-10-29
2025-10-29,Ferris Bueller's Day Off,1986,https://boxd.it/bwA613,5,Yes,,2025-10-29
2025-10-29,Searching,2018,https://boxd.it/bwBr8B,0.5,,,2025-10-29
2025-10-07,The Apartment,1960,https://boxd.it/bhVsRH,5,Yes,,2025-10-31
2025-11-02,After Hours,1985,https://boxd.it/bzhsxJ,4.5,,,2025-11-02
2025-11-02,Into the Night,1985,https://boxd.it/bzol9z,5,,,2025-11-02
2025-11-02,The Man Who Knew Too Little,1997,https://boxd.it/bzLQdX,5,,,2025-11-02
2025-11-03,Miracle Mile,1988,https://boxd.it/bzU7YH,4.5,,,2025-11-02
2025-11-10,Scarface,1983,https://boxd.it/bEJpQJ,5,,,2025-11-09
2025-11-10,Heat,1995,https://boxd.it/bEXXk1,4,,,2025-11-10
2025-11-11,The Godfather,1972,https://boxd.it/bFuJFl,5,Yes,,2025-11-10
2025-11-16,The Recruit,2003,https://boxd.it/bIRAC1,0.5,,,2025-11-14
2025-11-15,GoodFellas,1990,https://boxd.it/bIb0NN,5,,,2025-11-15
2025-11-15,GoodFellas,1990,https://boxd.it/bIb2DP,,,,2025-11-15
2025-11-16,Inglourious Basterds,2009,https://boxd.it/bIQUmP,5,,,2025-11-15
2025-11-16,Inglourious Basterds,2009,https://boxd.it/bIR07B,,,,2025-11-15
2025-11-16,Se7en,1995,https://boxd.it/bIV2V7,3.5,,,2025-11-16
2025-11-21,One Battle After Another,2025,https://boxd.it/bMjcdT,5,,,2025-11-20
2025-11-23,Stargate,1994,https://boxd.it/bNFq9J,1.5,,,2025-11-22
2025-11-23,Sorcerer,1977,https://boxd.it/bNH2T3,4.5,,,2025-11-22
2025-11-23,Pulp Fiction,1994,https://boxd.it/bNLQw7,,Yes,,2025-11-23
2025-11-26,The Perks of Being a Wallflower,2012,https://boxd.it/bQ2W8R,2.5,,,2025-11-25
2025-11-26,Y Tu Mamá También,2001,https://boxd.it/bQ7VUl,4.5,,,2025-11-26
2025-11-29,Sleepless in Seattle,1993,https://boxd.it/bSkjJD,5,,,2025-11-29
2025-11-30,When Harry Met Sally...,1989,https://boxd.it/bSm47j,5,,,2025-11-29
2025-11-30,Nick and Norah's Infinite Playlist,2008,https://boxd.it/bSAZxh,4.5,,,2025-11-30
2025-11-30,You've Got Mail,1998,https://boxd.it/bT3qrV,5,,,2025-11-30
2025-12-01,The Graduate,1967,https://boxd.it/bT82Xt,1.5,,,2025-11-30
2025-12-14,The Worst Person in the World,2021,https://boxd.it/c1WNen,5,,,2025-12-13
2025-12-14,Casablanca,1942,https://boxd.it/c2F7IP,5,,,2025-12-14
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/c2IMRz,4.5,,,2025-12-14
2025-12-15,Glass Onion,2022,https://boxd.it/c2Qy3h,3.5,,,2025-12-14
2025-12-15,Knives Out,2019,https://boxd.it/c32nsz,4.5,,,2025-12-14
2025-12-15,When Harry Met Sally...,1989,https://boxd.it/c3CqSn,,Yes,,2025-12-15
2025-12-16,Cars,2006,https://boxd.it/c4ttj7,,Yes,,2025-12-15
2025-12-16,Cars 2,2011,https://boxd.it/c4tJ4x,,Yes,,2025-12-15
2025-12-16,Bugonia,2025,https://boxd.it/c3XcxR,3.5,,,2025-12-16
2025-12-16,Despicable Me 3,2017,https://boxd.it/c4tnMn,,Yes,,2025-12-16
2025-12-16,Cars 3,2017,https://boxd.it/c4tNmb,,Yes,,2025-12-16
2025-12-17,The Apartment,1960,https://boxd.it/c4LWFR,,Yes,,2025-12-16
2025-12-17,American Graffiti,1973,https://boxd.it/c4OrIh,,Yes,,2025-12-16
2025-12-17,Notting Hill,1999,https://boxd.it/c5mK6T,5,,,2025-12-17
2025-12-17,Sleepless in Seattle,1993,https://boxd.it/c5qcch,,Yes,,2025-12-17
2025-12-17,Adventures in Babysitting,1987,https://boxd.it/c5qSOn,,Yes,,2025-12-17
2025-12-18,Frances Ha,2012,https://boxd.it/c5Gd3n,4.5,,,2025-12-17
2025-12-18,Now You See Me: Now You Don't,2025,https://boxd.it/c5JLZL,3.5,,,2025-12-18
2025-12-18,Amélie,2001,https://boxd.it/c5N51x,5,,,2025-12-18
2025-12-18,Chungking Express,1994,https://boxd.it/c5TzAz,4.5,,,2025-12-18
2025-12-19,Punk Love,2006,https://boxd.it/c6EN5J,0.5,,,2025-12-19
2025-12-19,Fallen Angels,1995,https://boxd.it/c6JAbp,5,,,2025-12-19
2025-12-19,How the Grinch Stole Christmas,2000,https://boxd.it/c7fTBP,,,,2025-12-19
2025-12-20,Mulholland Drive,2001,https://boxd.it/c7jm2Z,4,,,2025-12-19
2025-12-20,"Paris, Texas",1984,https://boxd.it/c7x9yL,4,,,2025-12-20
2025-12-20,The Night Before,2015,https://boxd.it/c7y1x3,3.5,,,2025-12-20
2025-12-21,Dhurandhar,2025,https://boxd.it/c9gNjP,,Yes,,2025-12-21
2025-12-22,The Neighbors' Window,2019,https://boxd.it/c9BIHf,5,,,2025-12-21
2025-12-22,Emilie Muller,1993,https://boxd.it/c9DpR5,4,,,2025-12-21
2025-12-25,Scenes from a Situationship,2025,https://boxd.it/ccPiVl,2,,,2025-12-24
2025-12-25,Eyes Wide Shut,1999,https://boxd.it/cd3JRX,4,,,2025-12-24
2025-12-25,My Night at Maud's,1969,https://boxd.it/cdHbcV,5,Yes,,2025-12-25
2025-12-25,ted,2024,https://boxd.it/cdL6xH,,Yes,,2025-12-25
2025-12-25,Home Alone,1990,https://boxd.it/cdQFCx,,Yes,,2025-12-25
2025-12-25,Home Alone 2: Lost in New York,1992,https://boxd.it/cdQQ5p,,Yes,,2025-12-25
2025-12-27,A Girl Walks Home Alone at Night,2014,https://boxd.it/cfbN37,5,,,2025-12-26
2025-12-27,Tough Guys,1986,https://boxd.it/cfikOn,2.5,,,2025-12-26
2025-12-27,Portrait of a Lady on Fire,2019,https://boxd.it/cfqF63,4.5,,,2025-12-27
2025-12-27,Ghost,1990,https://boxd.it/cfvm51,3.5,,,2025-12-27
2025-12-27,The Godfather Part II,1974,https://boxd.it/cgbRgj,4.5,,,2025-12-27
2025-12-27,The Godfather Part III,1990,https://boxd.it/cgbRPD,3.5,,,2025-12-27
2025-12-28,Honey Don't!,2025,https://boxd.it/cgmxMh,1,,,2025-12-27
2025-12-28,Burn After Reading,2008,https://boxd.it/cgxmLT,1.5,,,2025-12-27
2025-12-29,Summr Lovr,2025,https://boxd.it/chFp7n,3.5,,,2025-12-28
2025-12-29,Plus One,2019,https://boxd.it/chYEhZ,4,,,2025-12-29
2025-12-31,Sentimental Value,2025,https://boxd.it/clbLaf,5,,,2025-12-31
2025-12-31,Sleepless in Seattle,1993,https://boxd.it/cld2iH,5,Yes,,2025-12-31
2026-01-03,In the Mood for Love,2000,https://boxd.it/cphE0l,4,,,2026-01-03
2026-01-10,Bram Stoker's Dracula,1992,https://boxd.it/cxCYaJ,5,,,2026-01-09
2026-01-10,May,2002,https://boxd.it/cxFPtj,1,,,2026-01-10
2026-01-10,Bound,1996,https://boxd.it/cxHpZx,2,,,2026-01-10
2026-01-15,People We Meet on Vacation,2026,https://boxd.it/cDnq8X,1,,,2026-01-14
2026-01-17,Brick,2005,https://boxd.it/cG75Xv,4.5,,,2026-01-17
2026-01-17,The Silence of the Lambs,1991,https://boxd.it/cGc0Et,5,,,2026-01-17
2026-01-18,Hannibal,2001,https://boxd.it/cGktU7,4,,,2026-01-17
2026-01-18,Anatomy of a Fall,2023,https://boxd.it/cHmTGD,4.5,,,2026-01-18
2026-01-19,Zodiac,2007,https://boxd.it/cHticP,3.5,,,2026-01-18
2026-01-24,Kyo Kii... Main Jhuth Nahin Bolta,2001,https://boxd.it/cNmbun,3.5,,,2026-01-24
2026-01-24,Chocolate: Deep Dark Secrets,2005,https://boxd.it/cNoncp,1,,,2026-01-24
2026-01-25,12 Angry Men,1957,https://boxd.it/cNwvfx,5,,,2026-01-24
2026-01-25,Ek Ruka Hua Faisla,1986,https://boxd.it/cNxfmf,4.5,,,2026-01-24
2026-01-25,Kuch Kuch Hota Hai,1998,https://boxd.it/cNGU79,,,,2026-01-24
2026-01-25,Desi Boyz,2011,https://boxd.it/cNLkOV,,Yes,,2026-01-24
2026-01-25,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/cNQPnh,,,,2026-01-25
2026-01-25,Blue Velvet,1986,https://boxd.it/cOsDFz,5,,,2026-01-25
2026-01-25,Boogie Nights,1997,https://boxd.it/cOxyvp,3.5,,,2026-01-25
2026-01-25,The Lovers on the Bridge,1991,https://boxd.it/cODWan,5,,,2026-01-25
2026-01-26,Inception,2010,https://boxd.it/cPiPg1,,Yes,,2026-01-26
2026-01-27,Dil Toh Baccha Hai Ji,2011,https://boxd.it/cQaQaV,,,,2026-01-26
2026-01-27,Action Replayy,2010,https://boxd.it/cQb6M7,,,,2026-01-26
2026-01-27,Namastey London,2007,https://boxd.it/cQcyOn,,,,2026-01-26
2026-01-27,Andaz Apna Apna,1994,https://boxd.it/cQjC0b,,,,2026-01-26
2026-01-28,Mujhse Shaadi Karogi,2004,https://boxd.it/cRnw8v,,,,2026-01-27
2026-01-28,Dream Girl,1977,https://boxd.it/cRoiwP,,,,2026-01-27
2026-01-27,Haseena Maan Jaayegi,1999,https://boxd.it/cQnMRd,,,,2026-01-28
2026-01-28,Partner,2007,https://boxd.it/cRr72Z,,,,2026-01-28
2026-01-31,Mulholland Drive,2001,https://boxd.it/cUPFeP,5,Yes,,2026-01-31
2026-01-31,Magnolia,1999,https://boxd.it/cUS9Pv,5,Yes,,2026-01-31
2026-02-09,Yes Man,2008,https://boxd.it/d2JZjl,4.5,Yes,,2026-02-08
2026-02-09,Superman,2025,https://boxd.it/d2XwU1,1.5,,,2026-02-08
2026-02-09,I'm Still Here,2024,https://boxd.it/d34kvx,5,,,2026-02-09
2026-02-10,Night on Earth,1991,https://boxd.it/d3JpiP,4,,,2026-02-09
2026-02-14,Marty Supreme,2025,https://boxd.it/d7zTzn,1.5,,,2026-02-14
2026-02-22,Little Miss Sunshine,2006,https://boxd.it/dfvTAT,4,,,2026-02-22
2026-02-22,La Notte,1961,https://boxd.it/dfyKIl,3.5,,,2026-02-22
2026-02-22,Superbad,2007,https://boxd.it/dfCGUv,4.5,Yes,,2026-02-22
2026-02-22,10 Things I Hate About You,1999,https://boxd.it/dfFEdF,4.5,,,2026-02-22
2026-03-08,A Girl Walks Home Alone at Night,2014,https://boxd.it/dqDCJT,5,Yes,,2026-03-08
2026-03-18,Submarine,2010,https://boxd.it/dz1qW7,3.5,,,2026-03-17
2026-03-19,Tees Maar Khan,2010,https://boxd.it/dzF4jx,4,Yes,,2026-03-18
2026-03-23,It's Entertainment,2014,https://boxd.it/dDeooJ,4,Yes,,2026-03-22
2026-03-25,Harold and Maude,1971,https://boxd.it/dFSPML,4.5,,,2026-03-25
2026-03-26,The Daytrippers,1996,https://boxd.it/dFTgcZ,4,,,2026-03-25
2026-03-26,Licorice Pizza,2021,https://boxd.it/dG6C9J,1,,,2026-03-25
2026-03-26,Fish Tank,2009,https://boxd.it/dG7QeP,1.5,,,2026-03-25
2026-03-28,Malena,2000,https://boxd.it/dIehc7,1,,,2026-03-28
2026-03-28,Things to Come,2016,https://boxd.it/dIiczj,2.5,,,2026-03-28
2026-03-29,Petite Maman,2021,https://boxd.it/dIxQyb,5,,,2026-03-28
2026-03-29,Punch-Drunk Love,2002,https://boxd.it/dIEi6B,4.5,,,2026-03-29
2026-03-30,Dhurandhar The Revenge,2026,https://boxd.it/dJpejb,,,,2026-03-29
2026-04-01,Two People Exchanging Saliva,2024,https://boxd.it/dLB8VP,4,Yes,,2026-03-31
2026-04-02,Donnie Darko,2001,https://boxd.it/dMrVpR,4.5,,,2026-04-01
2026-04-03,Ghost Rider,2007,https://boxd.it/dNg7XB,,Yes,,2026-04-02
2026-04-03,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/dNXckl,,Yes,,2026-04-03
2026-04-04,"Synecdoche, New York",2008,https://boxd.it/dO23Af,4,,,2026-04-03
2026-04-07,Adventures in Babysitting,1987,https://boxd.it/dRyba1,5,Yes,,2026-04-06
2026-04-11,Aftersun,2022,https://boxd.it/dUZEqX,5,,,2026-04-11
2026-04-14,Entourage,2015,https://boxd.it/dXL5Qv,3.5,,,2026-04-13
2026-04-15,But I'm a Cheerleader,1999,https://boxd.it/dYwdN9,3,,,2026-04-14
2026-04-17,La Haine,1995,https://boxd.it/dZTqDr,4.5,,,2026-04-16
2026-04-17,PlayTime,1967,https://boxd.it/dZTZ3D,4,,,2026-04-16
2026-04-17,Jumbo,2020,https://boxd.it/e04dLT,0.5,,,2026-04-17
2026-04-18,Tu Yaa Main,2026,https://boxd.it/e0ExAD,2,,,2026-04-17
2026-04-18,Do Deewane Seher Mein,2026,https://boxd.it/e0IaMT,2,,,2026-04-17
2026-04-18,Little Things,2025,https://boxd.it/e0LzFp,4.5,,,2026-04-17
2026-04-19,Miracle Mile,1988,https://boxd.it/e1Dc2x,,Yes,,2026-04-19
2026-04-19,The Sure Thing,1985,https://boxd.it/e1I4Bz,4,,,2026-04-19
2026-04-19,The Last Picture Show,1971,https://boxd.it/e1NdaR,4,,,2026-04-19
2026-04-19,Face/Off,1997,https://boxd.it/e2hpeh,4,,,2026-04-19
2026-04-24,Say Anything...,1989,https://boxd.it/e5C8qT,4.5,,,2026-04-24
2026-04-24,Secret Admirer,1985,https://boxd.it/e5Ef7t,4.5,,,2026-04-24
2026-04-24,While We Watched,2022,https://boxd.it/e61mYv,,,,2026-04-24
2026-04-26,Raising Arizona,1987,https://boxd.it/e6SVZf,5,,,2026-04-25
2026-04-26,Buffalo '66,1998,https://boxd.it/e79Jeb,3,,,2026-04-26
2026-04-27,Zabriskie Point,1970,https://boxd.it/e7Pwvn,4,,,2026-04-26
2026-04-27,Me & You,2012,https://boxd.it/e7RjRT,2,,,2026-04-26
2026-04-27,The Shining,1980,https://boxd.it/e7Yped,4,,,2026-04-26
2026-05-01,Bend It Like Beckham,2002,https://boxd.it/ebwm7t,5,,,2026-05-01
2026-05-02,Bridget Jones's Diary,2001,https://boxd.it/ebCNsF,2,,,2026-05-01
2026-05-02,Hoppers,2026,https://boxd.it/ebHbkX,3.5,,,2026-05-01
2026-05-02,Project Hail Mary,2026,https://boxd.it/ebNO39,5,,,2026-05-01
2026-05-02,Nowhere,1997,https://boxd.it/ebVJRJ,4.5,,,2026-05-02
2026-05-04,Whisper of the Heart,1995,https://boxd.it/edI6O9,4,,,2026-05-03
2026-05-04,Friday,1995,https://boxd.it/eeqgO7,5,,,2026-05-04
2026-05-05,Next Friday,2000,https://boxd.it/eexp3j,4.5,,,2026-05-04
2026-05-05,Friday After Next,2002,https://boxd.it/eeyYMF,4.5,,,2026-05-04
2026-05-05,The Matrix,1999,https://boxd.it/eeEYG5,4.5,,,2026-05-04
2026-05-05,The Matrix Reloaded,2003,https://boxd.it/eeJUeL,4,,,2026-05-05
2026-05-05,The Matrix Revolutions,2003,https://boxd.it/eeMxdB,4,,,2026-05-05
2026-05-05,John Tucker Must Die,2006,https://boxd.it/eeQjMv,4,,,2026-05-05
2026-05-05,The Drama,2026,https://boxd.it/efcy6j,3.5,,,2026-05-05
2026-05-06,The Florida Project,2017,https://boxd.it/efi5R3,3,,,2026-05-05
2026-05-15,In the Cut,2003,https://boxd.it/emvi9H,4.5,,,2026-05-15
2026-05-15,The Comfort of Strangers,1990,https://boxd.it/emyonB,,,,2026-05-15
2026-05-17,Senseless,1998,https://boxd.it/enUIfZ,,,,2026-05-16
2026-05-17,The Batman,2022,https://boxd.it/eoE5bB,5,Yes,,2026-05-17
2026-05-18,Uncut Gems,2019,https://boxd.it/eoLpFv,,,,2026-05-17
2026-05-18,Good Time,2017,https://boxd.it/eoMYe7,,,,2026-05-17
2026-05-20,Desert Hearts,1985,https://boxd.it/eratwl,,,,2026-05-20
2026-05-22,Heat,1995,https://boxd.it/esAHTp,5,Yes,,2026-05-22
2026-05-23,Lost Highway,1997,https://boxd.it/esFOUp,,,,2026-05-22
2026-05-23,Tom Clancy's Jack Ryan: Ghost War,2026,https://boxd.it/esJ5hP,2,,,2026-05-22
2026-05-23,That Night,1992,https://boxd.it/esMvgT,,,,2026-05-22
2026-05-29,Dog Day Afternoon,1975,https://boxd.it/ey7cAn,5,,,2026-05-29
2026-05-30,Berlin and the Lady with an Ermine,2026,https://boxd.it/eyMGUJ,3.5,,,2026-05-29
2026-05-30,Me and Earl and the Dying Girl,2015,https://boxd.it/eyQURR,5,,,2026-05-30
2026-05-30,Iron Lung,2026,https://boxd.it/ezpsn5,3.5,,,2026-05-30
2026-05-30,Mortal Kombat II,2026,https://boxd.it/ezqlnp,1.5,,,2026-05-30
2026-05-31,Stand by Me,1986,https://boxd.it/ezOjg5,5,,,2026-05-31
2026-06-01,Riding in Cars with Boys,2001,https://boxd.it/eAGeVv,5,,,2026-05-31
2026-06-01,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/eAIAYl,4.5,,,2026-05-31
2026-06-06,Obsession,2025,https://boxd.it/eF91ul,5,,,2026-06-06
2026-06-14,Disturbia,2007,https://boxd.it/eLY3jb,,,,2026-06-13
2026-06-14,Heathers,1989,https://boxd.it/eM0UDd,,,,2026-06-13
2026-06-14,The Lovers on the Bridge,1991,https://boxd.it/eMLALl,5,Yes,,2026-06-14
2026-06-22,Ruby Sparks,2012,https://boxd.it/eTGDm7,5,,,2026-06-22
2026-06-22,Prisoners,2013,https://boxd.it/eTJgFL,3,,,2026-06-22
2026-06-23,There Will Be Blood,2007,https://boxd.it/eUuq8L,4,,,2026-06-23
2026-06-23,Killers of the Flower Moon,2023,https://boxd.it/eUx5Pb,,,,2026-06-23
2026-06-23,Insomnia,2002,https://boxd.it/eUzkVH,,,,2026-06-23
2026-06-24,Rosetta,1999,https://boxd.it/eVjssZ,5,,,2026-06-24
2026-06-25,The Insider,1999,https://boxd.it/eWdcN5,,,,2026-06-25
2026-06-26,Parasite,2019,https://boxd.it/eWjdk1,1.5,,,2026-06-25
2026-06-30,The Sheep Detectives,2026,https://boxd.it/f0FPL5,,,,2026-06-30
2026-06-30,The Usual Suspects,1995,https://boxd.it/f0HgV9,,,,2026-06-30
2026-06-30,Vertigo,1958,https://boxd.it/f0LN7T,,,,2026-06-30
2026-07-02,Paul,2011,https://boxd.it/f2wCr7,,,,2026-07-02
2026-07-03,Apocalypse Now,1979,https://boxd.it/f2MXK7,,,,2026-07-02
2026-07-03,Incendies,2010,https://boxd.it/f2SzFf,5,,,2026-07-02
2026-07-03,Barry Lyndon,1975,https://boxd.it/f3zH8J,,,,2026-07-03
2026-07-04,Videodrome,1983,https://boxd.it/f3Fq19,,,,2026-07-03
2026-07-06,Magnolia,1999,https://boxd.it/f5FMmL,5,Yes,,2026-07-05
2026-07-06,Blue Velvet,1986,https://boxd.it/f6A5FT,5,Yes,,2026-07-06
2026-07-07,Blade Runner,1982,https://boxd.it/f6Hoaz,,,,2026-07-06
2026-07-07,Falcon Lake,2022,https://boxd.it/f6KTUz,5,,,2026-07-06
2026-07-07,Blade Runner 2049,2017,https://boxd.it/f6UhGT,,,,2026-07-06
2026-07-07,Hot Fuzz,2007,https://boxd.it/f6YJkT,,,,2026-07-07
2026-07-07,Psycho,1960,https://boxd.it/f7yiAx,,,,2026-07-07
2026-07-07,Into the Night,1985,https://boxd.it/f7zBOZ,5,Yes,,2026-07-07
2026-07-08,Paint Drying,2016,https://boxd.it/f8naA7,,,,2026-07-08
2026-07-08,Project Hail Mary,2026,https://boxd.it/f8q2GH,5,Yes,,2026-07-08
2026-07-09,The Raid,2011,https://boxd.it/f9mhEx,,,,2026-07-09
2026-07-10,Memories of Murder,2003,https://boxd.it/f9vpwT,,,,2026-07-09
2026-07-10,I Saw the Devil,2010,https://boxd.it/f9AiJh,,,,2026-07-09
2026-07-10,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/faeOBf,,,,2026-07-10
2026-07-10,The Furious,2025,https://boxd.it/fafVF1,,,,2026-07-10
2026-07-10,"O Brother, Where Art Thou?",2000,https://boxd.it/fagpe5,5,,,2026-07-10
